id,ADDRESS_IN,MATCH_INDICATOR,MATCH_TYPE,ADDRESS_OUT,LONG_LAT,TIGER_EDGE,STREET_SIDE,FIPS_STATE,FIPS_COUNTY,CENSUS_TRACT,CENSUS_BLOCK
39,"900 Acorn St,  Jacksonville, FL, 32209-7106",Match,Non_Exact,"900 ACORN ST, JACKSONVILLE, FL, 32209","-81.6851920657291,30.337674359268306",83895495.0,L,12.0,31.0,2802.0,3029.0
140,"1819 Thacker Ave,  Jacksonville, FL, 32207-3397",Match,Non_Exact,"1819 THACKER AVE, JACKSONVILLE, FL, 32207","-81.65329799022703,30.30750169395526",83914830.0,L,12.0,31.0,700.0,1002.0
141,"143 Oceanway Ave,  Jacksonville, FL, 32218-2615",Match,Non_Exact,"143 OCEANWAY AVE, JACKSONVILLE, FL, 32218","-81.6296264962553,30.466571087617297",83890906.0,L,12.0,31.0,10204.0,1008.0
142,"1424 Franklin St,  Jacksonville, FL, 32206-4899",No_Match,,,,,,,,,
143,"10913 Pine Estates Rd E,  Jacksonville, FL, 32218-4634",Match,Non_Exact,"10913 E PINE ESTATES RD, JACKSONVILLE, FL, 32218","-81.6828574899153,30.43384439349495",83890402.0,R,12.0,31.0,10306.0,1001.0
144,"101 Kernan Blvd N,  Jacksonville, FL, 32225-5302",Match,Non_Exact,"101 KERNAN BLVD N, JACKSONVILLE, FL, 32225","-81.4894865014358,30.331996456006664",629624249.0,L,12.0,31.0,14336.0,3000.0
145,"9238 103rd St,  Jacksonville, FL, 32210-8610",Match,Non_Exact,"9238 103RD ST, JACKSONVILLE, FL, 32210","-81.80913603024504,30.247694968290773",83936528.0,R,12.0,31.0,13723.0,1003.0
146,"9143 Phillips Hwy Ste. 590,  Jacksonville, FL, 32256-1381",Match,Non_Exact,"9143 PHILIPS HWY, JACKSONVILLE, FL, 32256","-81.57293855972756,30.200633704097754",636331451.0,L,12.0,31.0,16725.0,1001.0
147,"8985 Lone Star Rd,  Jacksonville, FL, 32211",Match,Exact,"8985 LONE STAR RD, JACKSONVILLE, FL, 32211","-81.55939497118203,30.337957338890817",83904830.0,L,12.0,31.0,15001.0,1002.0
148,"8680 Ac Skinner Pkwy,  Jacksonville, FL, 32256",No_Match,,,,,,,,,
149,"8313 Baycenter Rd,  Jacksonville, FL, 32256-7415",Match,Non_Exact,"8313 BAYCENTER RD, JACKSONVILLE, FL, 32256","-81.58842870204154,30.227131676646195",83920135.0,L,12.0,31.0,16605.0,2007.0
